,brms_rider_id,crm_time,rgn2_nm,order_count
0,017890F1919069404DF7C588109CFE89A4FA7A68E176BAFE8CCDB2EBECB2D800,1st_time,강남구,16
1,017890F1919069404DF7C588109CFE89A4FA7A68E176BAFE8CCDB2EBECB2D800,1st_time,서초구,39
2,017890F1919069404DF7C588109CFE89A4FA7A68E176BAFE8CCDB2EBECB2D800,2nd_time,강남구,18
3,017890F1919069404DF7C588109CFE89A4FA7A68E176BAFE8CCDB2EBECB2D800,2nd_time,서초구,55
4,01C15611B4FFB3A2CE27273B1B82A4099FF3A5D9EC65539D7A94DE7BE57DC212,1st_time,서초구,3
5,01C15611B4FFB3A2CE27273B1B82A4099FF3A5D9EC65539D7A94DE7BE57DC212,2nd_time,강남구,8
6,01C15611B4FFB3A2CE27273B1B82A4099FF3A5D9EC65539D7A94DE7BE57DC212,2nd_time,관악구,1
7,01C15611B4FFB3A2CE27273B1B82A4099FF3A5D9EC65539D7A94DE7BE57DC212,2nd_time,동작구,18
8,01C15611B4FFB3A2CE27273B1B82A4099FF3A5D9EC65539D7A94DE7BE57DC212,2nd_time,서초구,24
9,01D1C3CE700FCDF067D054D848AD3D0BE5FB564803B32A5824974A2FE3BEF5CF,1st_time,청주시 서원구,8
10,01D1C3CE700FCDF067D054D848AD3D0BE5FB564803B32A5824974A2FE3BEF5CF,2nd_time,청주시 서원구,6
11,01D1C3CE700FCDF067D054D848AD3D0BE5FB564803B32A5824974A2FE3BEF5CF,2nd_time,청주시 흥덕구,1
12,02E1C6A1A6517BE55F007ECD6D71119218DC92D4113EC3A2F2F0C8A3D49F1224,1st_time,과천시,18
13,02E1C6A1A6517BE55F007ECD6D71119218DC92D4113EC3A2F2F0C8A3D49F1224,1st_time,안양시 동안구,1
14,02E1C6A1A6517BE55F007ECD6D71119218DC92D4113EC3A2F2F0C8A3D49F1224,2nd_time,과천시,21
15,02E1C6A1A6517BE55F007ECD6D71119218DC92D4113EC3A2F2F0C8A3D49F1224,2nd_time,안양시 동안구,1
16,035D5573EAE34AC43E30598455EBAA10E492C3CECF598BAB25AB76C796598C11,1st_time,동작구,1
17,035D5573EAE34AC43E30598455EBAA10E492C3CECF598BAB25AB76C796598C11,1st_time,서초구,49
18,035D5573EAE34AC43E30598455EBAA10E492C3CECF598BAB25AB76C796598C11,2nd_time,동작구,4
19,035D5573EAE34AC43E30598455EBAA10E492C3CECF598BAB25AB76C796598C11,2nd_time,서초구,65
20,037B823CD2363D02C7DA4563734B395F01BCB95CD5B6AEA85FEF2630FB353CBC,1st_time,관악구,2
21,037B823CD2363D02C7DA4563734B395F01BCB95CD5B6AEA85FEF2630FB353CBC,1st_time,동작구,4
22,037B823CD2363D02C7DA4563734B395F01BCB95CD5B6AEA85FEF2630FB353CBC,1st_time,서초구,35
23,037B823CD2363D02C7DA4563734B395F01BCB95CD5B6AEA85FEF2630FB353CBC,2nd_time,관악구,1
24,037B823CD2363D02C7DA4563734B395F01BCB95CD5B6AEA85FEF2630FB353CBC,2nd_time,동작구,4
25,037B823CD2363D02C7DA4563734B395F01BCB95CD5B6AEA85FEF2630FB353CBC,2nd_time,서초구,9
26,05D61BAEF38B7E6394C28CA7037098DEB89F613F331B6A80D21132ED55EC059A,1st_time,청주시 서원구,2
27,05D61BAEF38B7E6394C28CA7037098DEB89F613F331B6A80D21132ED55EC059A,1st_time,청주시 흥덕구,17
28,05D61BAEF38B7E6394C28CA7037098DEB89F613F331B6A80D21132ED55EC059A,2nd_time,청주시 흥덕구,14
29,070326B2F39293FC610B9BFF8CCF9F46570984E4CF43E3459EFB20FB447B0F68,1st_time,강남구,3
30,070326B2F39293FC610B9BFF8CCF9F46570984E4CF43E3459EFB20FB447B0F68,1st_time,서초구,26
31,070326B2F39293FC610B9BFF8CCF9F46570984E4CF43E3459EFB20FB447B0F68,2nd_time,강남구,1
32,070326B2F39293FC610B9BFF8CCF9F46570984E4CF43E3459EFB20FB447B0F68,2nd_time,서초구,50
33,09BFE0A7C046663D4066625AF02B1BFED691EACE7B358A0042ECB70BB81B7F5C,2nd_time,청주시 서원구,1
34,09BFE0A7C046663D4066625AF02B1BFED691EACE7B358A0042ECB70BB81B7F5C,2nd_time,청주시 흥덕구,26
35,0A9E97352BD8D48ED13427B2DE91BD657E4BAE3AE31974CA798EA99E93C969A4,1st_time,강남구,1
36,0A9E97352BD8D48ED13427B2DE91BD657E4BAE3AE31974CA798EA99E93C969A4,1st_time,서초구,48
37,0A9E97352BD8D48ED13427B2DE91BD657E4BAE3AE31974CA798EA99E93C969A4,2nd_time,강남구,1
38,0A9E97352BD8D48ED13427B2DE91BD657E4BAE3AE31974CA798EA99E93C969A4,2nd_time,서초구,68
39,0CCCEFEDA39271D9AB7A9A420E0AF2D1B4F9A42262522A26720586C9E5186981,1st_time,청주시 상당구,2
40,0CCCEFEDA39271D9AB7A9A420E0AF2D1B4F9A42262522A26720586C9E5186981,1st_time,청주시 서원구,13
41,0CCCEFEDA39271D9AB7A9A420E0AF2D1B4F9A42262522A26720586C9E5186981,1st_time,청주시 청원구,1
42,0CCCEFEDA39271D9AB7A9A420E0AF2D1B4F9A42262522A26720586C9E5186981,1st_time,청주시 흥덕구,41
43,0CCCEFEDA39271D9AB7A9A420E0AF2D1B4F9A42262522A26720586C9E5186981,2nd_time,청주시 서원구,13
44,0CCCEFEDA39271D9AB7A9A420E0AF2D1B4F9A42262522A26720586C9E5186981,2nd_time,청주시 흥덕구,48
45,0F67BF3FB71FF360D805F98B6492D9FA0C4A5F355F3E5972A3847CE761AFBD41,1st_time,동작구,2
46,0F67BF3FB71FF360D805F98B6492D9FA0C4A5F355F3E5972A3847CE761AFBD41,1st_time,서초구,9
47,0F67BF3FB71FF360D805F98B6492D9FA0C4A5F355F3E5972A3847CE761AFBD41,2nd_time,서초구,31
48,11E78B1163A39D4A6F88F279C71B4142FE61441CBFA8ACBFC60B62142698A7EA,1st_time,강남구,11
49,11E78B1163A39D4A6F88F279C71B4142FE61441CBFA8ACBFC60B62142698A7EA,1st_time,서초구,18
50,11E78B1163A39D4A6F88F279C71B4142FE61441CBFA8ACBFC60B62142698A7EA,2nd_time,강남구,16
51,11E78B1163A39D4A6F88F279C71B4142FE61441CBFA8ACBFC60B62142698A7EA,2nd_time,서초구,22
52,1280FAE071CDA20E0C067AFD63AC7E806C3607FE57A7452FC8917DB9B3B487EB,1st_time,청주시 서원구,24
